id,postal_cd,country_cd,city_name,state,lat,lng,loc
35878,84051,US,Mountain Home,UT,40.2292460000,-110.6969400000,US-UT-Mountain Home-84051
35879,84052,US,Myton,UT,40.0353080000,-110.0529120000,US-UT-Myton-84052
35880,84053,US,Neola,UT,40.5034790000,-110.1018490000,US-UT-Neola-84053
35881,84054,US,North Salt Lake,UT,40.8420620000,-111.9197400000,US-UT-North Salt Lake-84054
35882,84055,US,Oakley,UT,40.8454410000,-111.1233960000,US-UT-Oakley-84055
35883,84056,US,Hill AFB,UT,41.1280440000,-111.9723200000,US-UT-Hill AFB-84056
35884,84057,US,Orem,UT,40.3127980000,-111.7262020000,US-UT-Orem-84057
35885,84058,US,Orem,UT,40.2813380000,-111.7695180000,US-UT-Orem-84058
35886,84059,US,Orem,UT,40.2966000000,-111.6936000000,US-UT-Orem-84059
35887,84060,US,Park City,UT,40.6484520000,-111.4989600000,US-UT-Park City-84060
35888,84061,US,Peoa,UT,40.7558500000,-111.3019860000,US-UT-Peoa-84061
35889,84062,US,Pleasant Grove,UT,40.3950090000,-111.7133610000,US-UT-Pleasant Grove-84062
35890,84063,US,Randlett,UT,40.2001980000,-109.7242860000,US-UT-Randlett-84063
35891,84064,US,Randolph,UT,41.6498800000,-111.2480120000,US-UT-Randolph-84064
35892,84065,US,Riverton,UT,40.4774320000,-111.9725260000,US-UT-Riverton-84065
35893,84066,US,Roosevelt,UT,40.5396540000,-110.4004130000,US-UT-Roosevelt-84066
35894,84067,US,Roy,UT,41.1788350000,-112.0410250000,US-UT-Roy-84067
35895,84068,US,Park City,UT,40.6463000000,-111.4972000000,US-UT-Park City-84068
35896,84069,US,Rush Valley,UT,40.2606110000,-112.5833980000,US-UT-Rush Valley-84069
35897,84070,US,Sandy,UT,40.5768880000,-111.8951780000,US-UT-Sandy-84070
35898,84071,US,Stockton,UT,40.2541060000,-112.3720460000,US-UT-Stockton-84071
35899,84072,US,Tabiona,UT,40.3958460000,-110.6937710000,US-UT-Tabiona-84072
35900,84073,US,Talmage,UT,40.2438760000,-110.5590880000,US-UT-Talmage-84073
35901,84074,US,Tooele,UT,40.5720240000,-112.4084820000,US-UT-Tooele-84074
35902,84075,US,Syracuse,UT,41.0840490000,-112.0785320000,US-UT-Syracuse-84075
35903,84076,US,Tridell,UT,40.4702130000,-109.8160470000,US-UT-Tridell-84076
35904,84078,US,Vernal,UT,40.1601810000,-109.5478400000,US-UT-Vernal-84078
35905,84079,US,Vernal,UT,40.4559000000,-109.5283000000,US-UT-Vernal-84079
35906,84080,US,Vernon,UT,40.0675990000,-112.3572650000,US-UT-Vernon-84080
35907,84081,US,West Jordan,UT,40.5993940000,-112.0416750000,US-UT-West Jordan-84081
35908,84082,US,Wallsburg,UT,40.4015330000,-111.4616760000,US-UT-Wallsburg-84082
35909,84083,US,Wendover,UT,40.2713680000,-113.1953720000,US-UT-Wendover-84083
35910,84084,US,West Jordan,UT,40.6237020000,-111.9878310000,US-UT-West Jordan-84084
35911,84085,US,Whiterocks,UT,40.5011170000,-109.9026740000,US-UT-Whiterocks-84085
35912,84086,US,Woodruff,UT,41.3703350000,-111.2783740000,US-UT-Woodruff-84086
35913,84087,US,Woods Cross,UT,40.8913580000,-111.9314290000,US-UT-Woods Cross-84087
35914,84088,US,West Jordan,UT,40.5845380000,-111.9995880000,US-UT-West Jordan-84088
35915,84089,US,Clearfield,UT,41.1100000000,-112.0240000000,US-UT-Clearfield-84089
35916,84090,US,Sandy,UT,40.5885000000,-111.8805000000,US-UT-Sandy-84090
35917,84091,US,Sandy,UT,40.5879000000,-111.8814000000,US-UT-Sandy-84091
35918,84092,US,Sandy,UT,40.5619750000,-111.8017300000,US-UT-Sandy-84092
35919,84093,US,Sandy,UT,40.5969740000,-111.8262140000,US-UT-Sandy-84093
35920,84094,US,Sandy,UT,40.5692220000,-111.8624600000,US-UT-Sandy-84094
35921,84095,US,South Jordan,UT,40.5593800000,-111.9824160000,US-UT-South Jordan-84095
35922,84096,US,Herriman,UT,40.4891820000,-112.0507220000,US-UT-Herriman-84096
35923,84097,US,Orem,UT,40.2970830000,-111.6676740000,US-UT-Orem-84097
35924,84098,US,Park City,UT,40.7174370000,-111.5686780000,US-UT-Park City-84098
35925,84101,US,Salt Lake City,UT,40.7565870000,-111.9012140000,US-UT-Salt Lake City-84101
35926,84102,US,Salt Lake City,UT,40.7595800000,-111.8624000000,US-UT-Salt Lake City-84102
35927,84103,US,Salt Lake City,UT,40.7863780000,-111.8689350000,US-UT-Salt Lake City-84103
35928,84104,US,Salt Lake City,UT,40.7495460000,-111.9665700000,US-UT-Salt Lake City-84104
35929,84105,US,Salt Lake City,UT,40.7386900000,-111.8592310000,US-UT-Salt Lake City-84105
35930,84106,US,Salt Lake City,UT,40.7064640000,-111.8550320000,US-UT-Salt Lake City-84106
35931,84107,US,Salt Lake City,UT,40.6566240000,-111.8847040000,US-UT-Salt Lake City-84107
35932,84108,US,Salt Lake City,UT,40.7865510000,-111.7369630000,US-UT-Salt Lake City-84108
35933,84109,US,Salt Lake City,UT,40.7189090000,-111.7142230000,US-UT-Salt Lake City-84109
35934,84110,US,Salt Lake City,UT,40.7606000000,-111.8903000000,US-UT-Salt Lake City-84110
35935,84111,US,Salt Lake City,UT,40.7560980000,-111.8839000000,US-UT-Salt Lake City-84111
35936,84112,US,Salt Lake City,UT,40.7658630000,-111.8420920000,US-UT-Salt Lake City-84112
35937,84113,US,Salt Lake City,UT,40.7701090000,-111.8266970000,US-UT-Salt Lake City-84113
35938,84114,US,Salt Lake City,UT,40.7789000000,-111.8858000000,US-UT-Salt Lake City-84114
35939,84115,US,Salt Lake City,UT,40.7141780000,-111.8930890000,US-UT-Salt Lake City-84115
35940,84116,US,Salt Lake City,UT,40.8023700000,-111.9602140000,US-UT-Salt Lake City-84116
35941,84117,US,Salt Lake City,UT,40.6606780000,-111.8338060000,US-UT-Salt Lake City-84117
35942,84118,US,Salt Lake City,UT,40.6529060000,-112.0153580000,US-UT-Salt Lake City-84118
35943,84119,US,Salt Lake City,UT,40.6971980000,-111.9407010000,US-UT-Salt Lake City-84119
35944,84120,US,Salt Lake City,UT,40.6967490000,-112.0009320000,US-UT-Salt Lake City-84120
35945,84121,US,Salt Lake City,UT,40.6166220000,-111.7095040000,US-UT-Salt Lake City-84121
35946,84122,US,Salt Lake City,UT,40.7606000000,-111.8903000000,US-UT-Salt Lake City-84122
35947,84123,US,Salt Lake City,UT,40.6587490000,-111.9199710000,US-UT-Salt Lake City-84123
35948,84124,US,Salt Lake City,UT,40.6764200000,-111.7310530000,US-UT-Salt Lake City-84124
35949,84125,US,Salt Lake City,UT,40.7606000000,-111.8903000000,US-UT-Salt Lake City-84125
35950,84126,US,Salt Lake City,UT,40.7606000000,-111.8903000000,US-UT-Salt Lake City-84126
35951,84127,US,Salt Lake City,UT,40.7606000000,-111.8903000000,US-UT-Salt Lake City-84127
35952,84128,US,Salt Lake City,UT,40.6967010000,-112.0439960000,US-UT-Salt Lake City-84128
35953,84129,US,Salt Lake City,UT,40.6401880000,-112.0369110000,US-UT-Salt Lake City-84129
35954,84130,US,Salt Lake City,UT,40.7606000000,-111.8903000000,US-UT-Salt Lake City-84130
35955,84131,US,Salt Lake City,UT,40.7606000000,-111.8903000000,US-UT-Salt Lake City-84131
35956,84132,US,Salt Lake City,UT,40.7606000000,-111.8903000000,US-UT-Salt Lake City-84132
35957,84133,US,Salt Lake City,UT,40.7695000000,-111.8647000000,US-UT-Salt Lake City-84133
