state,lat,lng
NY,40.8154,-73.0456
NY,40.8154,-73.0456
MA,42.065842,-72.620948
MA,42.372901,-72.450902
MA,42.39115,-72.524316
MA,42.3736,-72.5209
MA,42.420844,-72.10623
MA,42.274798,-72.401922
MA,42.186964,-72.956111
MA,42.2075,-72.3496
MA,42.126637,-72.204617
MA,42.268566,-72.980845
MA,42.365393,-72.819914
MA,42.160827,-72.603375
MA,42.1486,-72.6085
MA,42.17762,-72.562566
MA,42.1486,-72.6085
MA,42.195565,-72.542478
MA,42.441033,-72.915573
MA,42.292895,-72.717599
MA,42.06166,-72.498771
MA,42.192033,-73.045339
MA,42.070474,-72.675174
MA,42.3611,-72.20382
MA,42.454455,-72.826714
MA,42.257915,-72.505683
MA,42.092408,-72.949682
MA,42.356251,-72.585014
MA,42.072956,-72.416626
MA,42.378705,-72.192186
MA,42.3863,-72.60588
MA,42.411178,-72.688894
MA,42.222692,-72.640474
MA,42.2043,-72.6167
MA,42.270928,-72.903169
MA,42.352158,-72.715494
MA,42.475356,-72.487555
MA,42.192007,-72.45872
MA,42.095536,-72.312918
MA,42.3738,-72.5205
MA,42.329604,-72.625124
MA,42.3251,-72.6418
MA,42.330067,-72.692655
MA,42.31822,-72.637674
MA,42.4107,-72.6253
MA,42.353309,-72.051399
MA,42.192062,-72.307682
MA,42.519603,-72.925186
MA,42.169224,-72.854502
MA,42.463022,-72.419998
MA,42.230586,-72.741034
MA,42.3824,-72.0998
MA,42.258591,-72.575936
MA,42.049922,-72.772197
MA,42.1968,-72.3271
MA,42.178348,-72.370504
MA,42.061818,-72.231415
MA,42.288872,-72.277566
MA,42.202992,-72.197431
MA,42.386792,-72.879415
MA,42.162725,-72.771374
MA,42.1253,-72.7501
MA,42.388711,-72.646558
MA,42.125682,-72.641677
MA,42.1068,-72.6206
MA,42.202417,-72.221696
MA,42.4399,-72.6353
MA,42.3517,-72.1405
MA,42.134675,-72.432176
MA,42.436118,-72.770062
MA,42.1594,-72.8751
MA,42.390244,-72.947238
MA,42.1015,-72.5905
MA,42.103366,-72.590557
MA,42.12954,-72.569176
MA,42.100995,-72.581566
MA,42.05056,-72.565884
MA,42.121306,-72.60891
MA,42.08114,-72.557783
MA,42.118748,-72.549032
MA,42.1015,-72.5905
MA,42.1015,-72.5905
MA,42.0647,-72.5131
MA,42.095584,-72.524304
MA,42.122508,-72.511518
MA,42.095804,-72.485598
MA,42.120974,-72.487872
MA,42.1015,-72.5905
MA,42.1015,-72.5905
MA,42.1032,-72.5916
MA,42.151278,-72.510524
MA,42.1028,-72.5921
MA,42.1015,-72.5905
MA,42.466531,-73.289364
MA,42.4501,-73.2456
MA,42.4501,-73.2456
MA,42.627128,-73.11869
MA,42.065432,-73.316479
MA,42.324078,-73.130876
MA,42.503468,-73.202113
MA,42.558246,-73.147934
MA,42.47662,-73.146709
MA,42.4739,-73.1667
MA,42.2836,-73.3445
MA,42.171162,-73.330261
MA,42.3959,-73.076287
MA,42.263088,-73.383452
MA,42.560748,-73.244402
MA,42.287955,-73.206905
MA,42.366471,-73.271106
MA,42.339438,-73.246692
MA,42.348104,-73.002747
MA,42.137294,-73.195265
MA,42.179822,-73.196867
MA,42.695558,-73.087992
MA,42.1967,-73.4386
MA,42.195522,-73.094484
MA,42.379056,-73.365874
MA,42.113526,-73.119992
MA,42.589611,-73.022988
MA,42.10393,-73.367684
MA,42.102233,-73.46408
MA,42.079208,-73.238182
MA,42.2775,-73.2778
MA,42.296779,-73.32588
MA,42.2878,-73.3208
MA,42.22651,-73.197611
MA,42.288658,-73.377778
MA,42.642268,-73.252598
MA,42.51307,-73.050235
MA,42.631883,-72.59742
MA,42.5878,-72.6003
MA,42.525896,-72.80934
MA,42.560683,-72.183898
MA,42.690129,-72.585089
MA,42.580045,-72.800323
MA,42.63166,-72.878137
MA,42.675342,-72.740774
MA,42.509748,-72.699049
MA,42.539988,-72.618433
MA,42.651664,-72.990795
MA,42.608914,-72.42456
MA,42.665724,-72.833294
MA,42.5567,-72.5186
MA,42.573938,-72.484196
MA,42.721188,-72.975162
MA,42.548217,-72.511166
MA,42.63841,-72.509488
MA,42.426036,-72.316418
MA,42.666519,-72.446882
MA,42.620458,-72.294444
MA,42.445872,-72.213524
MA,42.69587,-72.934949
MA,42.670469,-72.197026
MA,42.601438,-72.739108
MA,42.464914,-72.61716
MA,42.466106,-72.555454
MA,42.593404,-72.540041
MA,42.666338,-72.344874
MA,42.554654,-72.408295
MA,42.588368,-72.395956
MA,42.582812,-71.80659
MA,42.655656,-71.922012
MA,42.673591,-71.834337
MA,42.562912,-71.568824
MA,42.534958,-71.611484
MA,42.600122,-72.086316
MA,42.565092,-72.031569
MA,42.589966,-71.986054
MA,42.575,-71.9988
MA,42.61619,-71.576808
MA,42.498546,-71.581862
MA,42.484168,-72.011197
MA,42.524468,-71.772212
MA,42.537958,-71.484974
MA,42.587142,-71.720924
MA,42.665524,-71.599356
MA,42.579502,-71.644512
MA,42.48442,-71.62897
MA,42.543162,-72.066854
MA,42.659557,-71.702288
MA,42.6112,-71.5752
MA,42.6112,-71.5752
MA,42.6006,-71.6302
MA,42.559479,-71.908706
MA,42.66967,-71.743376
MA,42.660866,-72.048898
MA,42.7021,-72.0237
MA,42.195675,-71.84607
MA,42.384234,-71.629366
MA,42.039526,-71.530657
MA,42.35397,-71.717353
MA,42.194498,-72.103822
MA,42.131775,-71.973205
MA,42.1476,-71.9982
MA,42.1733,-71.9794
MA,42.4132,-71.69127
MA,42.207255,-72.048914
MA,42.054573,-71.754706
MA,42.4728,-71.8395
MA,42.106473,-72.114044
MA,42.202961,-71.68107
MA,42.333798,-71.853266
MA,42.064504,-72.168424
MA,42.376355,-71.872314
