,state,lat,lng
5346,PA,40.429309,-80.124713
4636,NY,42.399925,-74.9134
19824,IN,39.983878000000004,-87.05552
30585,AR,36.280842,-92.83035
21821,IA,42.945966999999996,-91.95844
26204,IL,39.043351,-90.32089
32525,TX,29.752453000000003,-95.411683
27162,MO,36.141582,-90.176919
37022,CA,33.831326000000004,-118.072919
33092,TX,28.868332000000002,-99.107445
39487,HI,20.902967999999998,-156.544936
28825,NE,40.465301000000004,-96.704173
5157,NY,42.246953999999995,-76.482958
39917,OR,42.722053,-118.66046899999999
29633,LA,30.133411,-93.442264
7714,DC,38.8951,-77.0369
33280,TX,28.072779999999998,-97.94688000000001
34362,CO,38.929656,-105.16716399999999
26112,IL,40.1165,-88.2434
37136,CA,34.143464,-118.76320600000001
5570,PA,40.244774,-79.67454000000001
33965,TX,31.829638,-106.38507
27735,MO,37.700396000000005,-92.117963
11594,SC,34.0009,-81.0353
17915,OH,40.327352000000005,-82.04726600000001
16587,KY,38.449271,-85.190017
33748,TX,33.941103999999996,-102.26138
26277,IL,38.599301000000004,-89.605681
23543,MN,43.738902,-94.23259300000001
6779,PA,40.916068,-75.361538
6179,PA,40.309138,-77.504053
27319,MO,39.334388,-94.70442
15259,TN,36.435182,-86.809947
3954,NY,42.276533,-74.01578
5911,PA,41.369848,-79.510685
10595,NC,35.407016,-78.739058
19244,IN,41.322790000000005,-85.14039
40352,WA,46.787656,-122.817998
27783,MO,37.225108,-93.578921
35374,UT,41.176266999999996,-111.913002
12324,GA,32.262106,-82.125958
37103,CA,34.1478,-118.1436
40803,AK,59.893257999999996,-163.00375
4571,NY,44.590653,-75.447463
38301,CA,37.414968,-122.051724
38253,CA,36.675739,-121.608842
18478,OH,39.232288,-84.107574
36181,NM,36.464714,-108.139779
31902,TX,32.317865999999995,-94.561987
40459,WA,45.85955,-121.146148
40091,WA,47.631975,-122.287411
34915,ID,42.351752000000005,-111.689675
16000,MS,34.229494,-89.907798
6535,PA,40.762217,-76.944424
25699,IL,42.202609,-88.962052
33190,TX,29.473788,-98.612205
18035,OH,41.171481,-82.212594
28623,KS,38.851471000000004,-100.484815
26002,IL,40.695617999999996,-89.434327
35860,AZ,32.157555,-110.840723
30902,OK,34.330056,-97.50118
30490,AR,35.9403,-91.50045
25656,IL,40.464593,-88.34676800000001
35694,AZ,33.241865000000004,-111.729147
5508,PA,40.158113,-79.057864
39550,OR,45.336254,-121.99413799999999
92,MA,42.1015,-72.5905
3915,NY,42.24888,-74.152148
19634,IN,39.298345,-86.651652
10508,NC,35.950208,-79.631599
7091,PA,39.891016,-75.370266
31454,OK,35.847925,-97.043231
21450,IA,43.081815,-92.67246999999999
12802,GA,31.040719,-82.752774
8475,VA,38.9014,-77.2656
12640,GA,32.579021000000004,-83.62814399999999
775,RI,41.776856,-71.350262
39435,HI,19.9353,-155.813748
16033,MS,34.8952,-89.556138
29255,NE,41.963151,-100.09316
32197,TX,33.374952,-96.92602099999999
23176,MN,45.039212,-93.905694
31400,OK,34.3965,-95.0114
34265,CO,40.49041,-104.996508
3781,NY,42.428002,-73.556714
23753,MN,45.803011,-94.83054399999999
35755,AZ,32.668995,-114.382544
12724,GA,31.934495000000002,-81.020023
25119,MT,46.200762,-112.666498
26444,IL,39.28076,-88.638308
5735,PA,40.324498,-78.700002
89,MA,42.1032,-72.5916
30071,AR,33.697843,-92.970762
8028,MD,38.9829,-77.0209
20168,MI,42.505064000000004,-83.479508
12073,GA,33.790696000000004,-84.205062
18026,OH,41.372151,-81.066484
35365,UT,41.831864,-111.902597
53,MA,42.049921999999995,-72.77219699999999
3160,NY,40.713060999999996,-74.008557
20873,MI,45.271394,-85.232702
5484,PA,40.068042,-79.463004
5910,PA,41.475382,-79.95834599999999
30053,AR,33.223219,-91.44387900000001
963,NH,43.472002,-72.32826999999999
5685,PA,41.157968,-78.565214
25987,IL,40.6259,-90.0317
15331,TN,36.580393,-86.249545
17354,KY,36.87022,-86.874972
18233,OH,41.239102,-80.753412
35242,UT,40.477432,-111.972526
29431,LA,29.9545,-90.0753
25203,MT,47.923522999999996,-114.189879
40704,WA,46.249722999999996,-119.302544
18270,OH,40.581016,-81.228936
12024,GA,33.513284000000006,-83.950174
310,MA,42.705940000000005,-71.15975300000001
22064,IA,41.720929999999996,-90.67593000000001
4589,NY,44.17371,-75.70379
39393,CA,38.885134,-120.042372
18541,OH,39.258113,-84.53236700000001
21967,IA,40.765291,-92.40839799999999
1247,ME,44.200734999999995,-69.606083
13330,FL,28.681494,-81.276062
17983,OH,41.448524,-82.019296
19348,IN,40.467481,-86.486184
2731,NJ,39.631474,-75.505081
32512,TX,29.739568,-95.38825200000001
22619,WI,44.9595,-89.6303
13192,FL,30.875773,-85.126642
15356,TN,36.065718,-86.781122
13743,FL,26.715,-80.0537
4644,NY,42.457068,-75.33838399999999
32403,TX,31.757336,-96.54309
25946,IL,40.763853999999995,-90.960774
4573,NY,44.192318,-75.96066400000001
32811,TX,29.809798999999998,-96.007579
32546,TX,29.868074,-95.53591899999999
17725,OH,41.715340000000005,-82.82101
3038,NY,40.758346,-73.967997
17686,OH,40.401264000000005,-82.78886899999999
8919,VA,37.5537,-77.4609
10959,NC,35.2795,-80.7358
12957,FL,30.273590999999996,-82.124442
8296,MD,39.660911999999996,-78.02789200000001
26775,IL,37.232374,-89.282259
20624,MI,42.02898,-84.753456
17484,KY,37.58813,-85.94580699999999
33097,TX,29.471771999999998,-98.887679
12745,GA,31.223769,-81.35144
32423,TX,31.5495,-97.1464
19371,IN,40.878828000000006,-86.360416
26465,IL,39.771829,-89.047668
32965,TX,30.6744,-96.3697
24651,ND,46.8085,-100.7836
34470,CO,38.195308000000004,-103.849176
4140,NY,43.3065,-73.966435
13373,FL,28.6918,-81.5477
21914,IA,42.393853,-91.75482199999999
22709,WI,45.493433,-90.52566800000001
39225,CA,39.592192,-122.02988
29456,LA,29.812332,-90.96087800000001
14149,FL,25.93777,-81.699725
187,MA,42.7021,-72.0237
13328,FL,28.966347999999996,-81.236644
30326,AR,34.7696,-92.2669
33114,TX,29.201903,-98.359063
29665,LA,30.873638,-91.676858
4638,NY,42.144073999999996,-76.079437
33253,TX,28.2266,-97.9616
12414,GA,34.882001,-84.191289
39267,CA,39.544795,-122.266428
32099,TX,32.951594,-97.150991
20086,MI,42.3346,-83.0634
33424,TX,30.703803999999998,-98.657071
35591,AZ,33.4486,-112.0733
1712,VT,44.625673,-73.309252
2440,NJ,40.883559999999996,-74.216776
20969,MI,45.779216,-87.817444
31714,TX,32.7835,-96.8001
29945,LA,31.6361,-92.0015
22323,WI,43.240478,-89.510072
20850,MI,44.966041,-85.641318
27776,MO,36.889241,-93.67259200000001
11642,SC,35.0718,-81.65
2236,CT,41.378688000000004,-73.472131
26004,IL,40.6937,-89.5887
23951,MN,48.0953,-93.9398
24471,ND,46.9009,-96.8018
2547,NJ,40.2926,-74.073417
26968,MO,39.701071999999996,-91.427715
1721,MA,42.6495,-71.1838
15278,TN,35.746190000000006,-87.87581
27312,MO,39.288021,-94.737938
19471,IN,38.2901,-85.7514
29358,LA,29.872269,-90.437309
90,MA,42.151278000000005,-72.510524
12585,GA,33.321,-83.37799999999999
36610,NV,36.30956,-115.19803200000001
14579,AL,32.816579,-88.286046
28283,KS,39.828274,-98.56045999999999
8285,MD,38.512271000000005,-76.180954
2510,NJ,41.054986,-74.04594499999999
36697,NV,39.2261,-120.0032
25180,MT,48.052440000000004,-113.863717
32949,TX,30.087081,-94.126889
32062,TX,32.890671000000005,-97.144235
742,RI,42.0033,-71.5855
26059,IL,40.370174,-88.8359
25608,IL,41.86,-87.81
32869,TX,30.000606,-94.54854399999999
26678,IL,38.291143,-89.190996
38654,CA,37.440985999999995,-121.990573
9743,WV,38.41717,-81.81701600000001
32611,TX,29.7632,-95.3633
8101,MD,39.430536,-76.79431899999999
34370,CO,39.699374,-102.679808
12783,GA,31.5991,-81.8846
19512,IN,38.9832,-85.7408
334,MA,42.4806,-71.1516
27998,KS,38.480501000000004,-95.25840600000001
27141,MO,36.818426,-89.79894499999999
30409,AR,35.324464,-90.77104200000001
13831,FL,28.205221999999996,-82.319927
7787,DC,38.8951,-77.0369
6164,PA,41.668125,-77.048233
11450,NC,35.45009,-82.978773
21426,IA,42.399253,-94.455612
32074,TX,32.982239,-97.384485
29895,LA,32.5716,-91.9828
12068,GA,33.933184000000004,-84.46290400000001
40962,AK,58.3833,-134.6591
11262,NC,35.056788,-76.699534
18784,OH,39.417726,-81.95344200000001
7794,DC,38.8951,-77.0369
24455,ND,46.273042,-96.607466
31241,OK,36.570510999999996,-94.733459
1317,ME,45.425163,-67.7681
25225,IL,42.0334,-87.8834
4970,NY,43.33623,-78.24077
14827,AL,32.080073,-86.515085
29766,LA,32.579801,-93.533618
21355,IA,43.406345,-93.764385
27336,MO,39.0997,-94.5784
130,MA,42.631883,-72.59742
36366,NM,32.850190000000005,-108.261664
39775,OR,45.09774,-123.557782
32359,TX,31.124844,-96.658138
14583,AL,33.083791999999995,-87.669329
32718,TX,30.8176,-94.8703
39034,CA,38.71053,-122.115569
8190,MD,38.986270000000005,-76.474806
32782,TX,29.559797999999997,-96.328464
38622,CA,37.9062,-122.5439
36760,NV,39.5297,-119.8129
24414,ND,46.420123,-96.865786
30635,AR,36.168659999999996,-94.455412
36579,NV,36.638908,-114.75350800000001
2834,NJ,39.249320000000004,-75.169416
28785,NE,41.367385999999996,-95.99857800000001
33134,TX,28.53025,-97.78936
27910,MO,36.6247,-91.917
11098,NC,34.761666999999996,-79.58228199999999
15486,TN,36.3136,-82.3538
31502,TX,32.8139,-96.9488
29308,NE,42.767115999999994,-103.275998
